Mean488,Mean560,Cell Status
1158.22,777.43,Live
13229.81,295.08,Live
10706.89,292.44,Live
1634.97,1557.84,Live
12692.03,298.08,Live
1563.98,1965.45,Live
8264.77,291.66,Live
11124.1,286.68,Live
10329.8,300.75,Live
1410.84,1219.44,Live
1363.37,2780.01,Live
1561.06,1398.5,Live
1211.6,578.76,Live
1360.76,908.61,Live
1337.86,590.6,Live
6771.64,325.81,Live
12034.65,298.2,Live
1244.88,599.99,Live
2338.38,2938.54,Live
1458.21,434.96,Live
1557.29,597.48,Live
1135.8,1460.38,Live
12268.81,300.67,Live
14212.62,296.29,Live
1923.42,2872.52,Live
17985.07,300.88,Live
10533.86,282.01,Live
1351.57,495.94,Live
1383.5,491.85,Live
1809.96,351.91,Live
1572.46,391.18,Live
1243.86,468.22,Live
1517.53,1209.35,Live
1533.12,809.64,Live
958.04,318.35,Live
9997.03,1155.96,Live
18239.55,330.76,Live
14261.83,303.71,Live
1585.15,2916.24,Live
12319.07,305.72,Live
7172.95,298.39,Live
14172.77,303.33,Live
11797.1,305.02,Live
1520.22,423.47,Live
1241.28,373.98,Live
10220.45,334.11,Live
1150.06,678.57,Live
12725.49,303.2,Live
15686.76,314.08,Live
1467.33,3577.02,Live
1533.57,2767.28,Live
14009.12,321.45,Live
9128.68,365.73,Live
2331.11,1046.56,Live
2308.15,436.21,Live
1609.22,1639.31,Live
1140.68,355,Live
13056.51,321.17,Live
1936.43,1821.36,Live
1504.72,3760.26,Live
1348.34,477.79,Live
1311.79,839.84,Live
14735.49,310.86,Live
3419.76,337.09,Live
1475.25,613.22,Live
1256.36,349.3,Live
1633.38,3407.44,Live
16148.99,315.96,Live
1801.29,1114.01,Live
13303.96,307.96,Live
15550.6,304.61,Live
1265.27,384.92,Live
15174.83,2680.81,Live
7847.04,298.88,Live
1413.84,2649.93,Live
1929.59,396.8,Live
2939.82,786.96,Live
2334.1,436.24,Live
11096.85,325.13,Live
1194.78,467.91,Live
8394.24,307.09,Live
1127.53,428.36,Live
1351.11,518.03,Live
1135.27,368.86,Live
1418.35,1046.55,Live
14004.08,357.16,Live
1371.36,1434.02,Live
10879.32,307.67,Live
1785.06,379.24,Live
4666.08,1078.89,Live
11095.71,302.98,Live
1433.82,1236.72,Live
1135.63,3067.13,Live
1727.92,515.91,Live
1621.89,481.46,Live
1317.4,1645.56,Live
1500.16,4944.23,Live
999.37,312.19,Live
1587.48,523.1,Live
7568.79,322.21,Live
2804.69,471.79,Live
1541.18,417.76,Live
1057.82,345.98,Live
2459.15,368.92,Live
1433.04,418.37,Live
1667.38,1437.78,Live
1088.7,2324.45,Live
1672.15,1157.84,Live
1726.97,497.63,Live
15395.19,320.33,Live
1390.13,914.22,Live
1502.18,1172.78,Live
1151.26,4586.4,Live
2558.68,468.89,Live
1904.97,515.02,Live
4299.58,369.88,Live
5526.62,721.53,Live
11228.48,316.37,Live
10147.56,306.71,Live
1511.62,516.64,Live
2652.43,815.13,Live
11726.88,314.28,Live
21328.85,349.06,Live
1911.26,2070.71,Live
18788.33,536.24,Live
1400.98,967.22,Live
19135.29,317.93,Live
11411.99,361.78,Live
3484.21,4391.05,Live
1716.08,3913.78,Live
1814.91,1694.16,Live
14561.27,324.8,Live
1675.14,1308.03,Live
15116.74,307,Live
1435.03,1962.3,Live
15677.89,325.85,Live
1353.85,887.83,Live
2499.44,2837.83,Live
16443.33,322.52,Live
3666.79,4799.38,Live
1275.81,486.34,Live
1257.43,386.25,Live
2060.54,3966.1,Live
1252.15,3090.32,Live
12745.02,325.59,Live
13447.24,301.59,Live
1414.78,606.85,Live
1558.12,1059.79,Live
1029.02,319.26,Live
1608,617.16,Live
13712.34,336.37,Live
16751.23,322.47,Live
1440.72,509.11,Live
12869.75,315.79,Live
1398.18,937.82,Live
1143.27,360.16,Live
1918.54,843,Live
1186.56,469.83,Live
15199.11,332.25,Live
2363.59,3627.24,Live
1100.03,337,Live
2327.72,474.76,Live
1689,528.49,Live
1771.88,2051.78,Live
3980.82,361.48,Live
20221.83,1910.46,Live
23670.12,318.04,Live
11300.81,319.24,Live
2070.6,723.9,Live
1678.36,653.39,Live
2556.8,1269.55,Live
11427.23,321.94,Live
2153.68,3283.32,Live
1439.92,523.64,Live
1359.88,851.1,Live
1691.98,4395.44,Live
10833.04,317.67,Live
16439.74,346.59,Live
17920.34,340.63,Live
15569.1,336.72,Live
1752.49,1690.13,Live
14481,365.61,Live
1672.35,549.55,Live
10198.35,310.38,Live
1349.74,548.59,Live
1095.66,326.19,Live
16287.32,323.4,Live
15887.42,313.83,Live
1719.32,485.4,Live
1473.98,589.34,Live
1679.32,773.05,Live
7157.46,497.71,Live
1575.63,512.87,Live
29887.95,415.59,Live
13610.46,327.18,Live
1676.02,468.64,Live
20978.15,338.44,Live
1752.53,1214.1,Live
2087.83,1407.56,Live
1780.23,429.85,Live
1793.99,6517.45,Live
1314.12,443.71,Live
14291.43,333.69,Live
15042.93,317.56,Live
7053.63,323.52,Live
1363.28,438.97,Live
11770.15,313.83,Live
1449.52,426.57,Live
18144.62,337.77,Live
21329.96,329.13,Live
6383.19,311.95,Live
1536.65,879.28,Live
21197.47,337.61,Live
19958.08,379.86,Live
1958.23,1021.96,Live
3880.74,3485.81,Live
16158.72,398.15,Live
13554.49,320.54,Live
1067.67,319.77,Live
1578.41,1685.38,Live
10160.28,325.68,Live
1371.52,839.35,Live
10990.91,349.71,Live
17012.16,320.34,Live
1619,1723.24,Live
2018.55,1042.9,Live
1150.09,340.47,Live
1735,675.92,Live
15705.77,366.05,Live
1501.47,682.76,Live
2037.89,380.12,Live
3355.61,2462.1,Live
1541.39,828.91,Live
1385.6,503.32,Live
13084.74,333.97,Live
10909.72,299.43,Live
11196.84,301.24,Live
1679.84,1830.34,Live
17102.53,326.47,Live
15652.39,338.36,Live
2602.77,3343,Live
1415.19,1574.65,Live
1494.31,5057.76,Live
1178.24,355.74,Live
1252.39,368.12,Live
4262.24,947.96,Live
6472.92,2720.92,Live
8051.01,1268.75,Live
1495.12,975.35,Live
5120.05,438.64,Live
16647.49,336.97,Live
1454.89,1618.08,Live
1383.81,429.09,Live
1698.78,810.44,Live
1890.07,612.26,Live
1958.72,1976.81,Live
1465.29,862.08,Live
1707.99,438.04,Live
1687.04,586.26,Live
20501.74,359.9,Live
6937.29,351.14,Live
1560.16,545.65,Live
3180.75,790.4,Live
1391.39,594.93,Live
2237.8,2453.77,Live
1555.2,969.22,Live
1641.58,2178.93,Live
1602.29,447.79,Live
16306.65,313.27,Live
2853.94,2813.33,Live
1618.39,1110.04,Live
1592.56,439.67,Live
1508.56,429.56,Live
1359.15,555.69,Live
1578.24,449.88,Live
1093.66,314.58,Live
1773.26,4659.66,Live
1132.48,332.29,Live
7700.32,433.15,Live
1557.05,722.8,Live
4949.72,436.46,Live
15566.28,317.42,Live
17929.27,313.53,Live
8602.58,383.36,Live
1516.66,690.5,Live
10831.91,308.49,Live
3157.6,4530.11,Live
1294.42,344.12,Live
1221.38,373.55,Live
1212.84,356.19,Live
9455.02,319.12,Live
1325.21,402.92,Live
14942.44,312.61,Live
6241.47,344.77,Live
19864.64,394.82,Live
2381.69,3129.73,Live
1479.59,504.99,Live
1397.1,769.24,Live
11385.11,305.52,Live
1730.42,455.95,Live
2203.6,399.92,Live
4527.51,551.64,Live
15727.57,329.17,Live
6552.86,400.42,Live
15349.41,313.92,Live
2687.08,3443.64,Live
1442.56,735.74,Live
2777.1,371.89,Live
1289.38,579.59,Live
12407.6,349.71,Live
1239.11,395.77,Live
1124.26,357.5,Live
1143.29,895.69,Live
859.12,2580.58,Live
12295.35,276.71,Live
913.28,370.37,Live
811.37,1381.71,Live
6152.09,754.37,Live
9449.3,257.52,Live
7737.01,266.38,Live
2347.22,680.58,Live
1211.7,399.76,Live
794.65,615.39,Live
10863.38,263.6,Live
7441.04,263.88,Live
11201.33,282.76,Live
6221.8,283.41,Live
1224.98,288.27,Live
1263.82,765.52,Live
11733.12,254.49,Live
941.28,727.27,Live
6931.84,253.22,Live
1515.7,365.86,Live
664.51,268.53,Live
1027.89,334.83,Live
9017.13,260.16,Live
10635.56,306.5,Live
10390.09,270.95,Live
7061.09,270.9,Live
7236.95,304.8,Live
2306.3,303,Live
1137.51,312.75,Live
9303.34,244.96,Live
1180.4,1234.94,Live
11823.23,280.24,Live
17682.47,294.64,Live
939.72,1038.28,Live
14083.34,253.58,Live
1037.14,1149.93,Live
7353.44,257.76,Live
957.02,290.56,Live
6047.5,712.6,Live
1058.23,520.06,Live
9456.16,261.83,Live
11608.25,256.99,Live
11311.69,480.44,Live
12652.36,258.62,Live
12482.26,257.89,Live
1163.48,526.12,Live
1560.05,314.28,Live
1149.16,526.6,Live
1059.07,693.83,Live
799.03,466.12,Live
1556.96,4530.05,Live
6782.29,254.6,Live
4906.75,518.29,Live
15585.85,264.5,Live
1085.08,466.01,Live
13515.89,309.8,Live
11856.39,257.02,Live
880.42,330.59,Live
922.1,1842.93,Live
10458.85,265.97,Live
16826.89,307.04,Live
15406.16,449.15,Live
1260.88,733.18,Live
1121.56,1726.26,Live
8804.52,263.8,Live
3587.53,458.71,Live
9464.68,253.19,Live
3245.96,393.98,Live
14684.75,268.85,Live
15213.49,412.74,Live
990.35,3414.08,Live
12159.38,264.21,Live
13462.64,286.8,Live
1264.47,878.88,Live
2065.66,3225.3,Live
15283.26,275.57,Live
1050.43,581.46,Live
23721.72,267.6,Live
9571.53,281.83,Live
14122.7,267.9,Live
1474.03,1964.91,Live
14447.22,263.78,Live
1401.32,2868.07,Live
1324.35,460.24,Live
16665.04,275.15,Live
12996.1,267.63,Live
11522.15,281.2,Live
1127.28,408.08,Live
11745.01,287.11,Live
1044.18,1676.64,Live
1281.07,380.46,Live
1160.28,3100.31,Live
1010.8,575.31,Live
2444.93,354.55,Live
998.87,1040.67,Live
1447.66,2530.44,Live
1413.42,344.74,Live
890.29,366.32,Live
1113.8,1339.11,Live
6987.02,331.22,Live
1120.85,556.45,Live
1407.68,342.75,Live
14760.21,336.79,Live
15763,268.67,Live
1140.27,425.17,Live
1447.64,590.96,Live
2648.29,3670.44,Live
15104.7,286.68,Live
11975.53,262.15,Live
1126.08,317.5,Live
13690.21,281.62,Live
1134.16,1106.88,Live
1032.51,336.96,Live
16761.87,271.81,Live
1224.3,1720.1,Live
996.32,953.58,Live
1539,4557.46,Live
6154.84,3627.39,Live
829.49,311.84,Live
13571.16,276.68,Live
1070.06,386.45,Live
739.71,278.24,Live
1092.99,1119.79,Live
12754.49,283.31,Live
12249.72,315.72,Live
11157.56,262.68,Live
14547.91,446.62,Live
15390.64,272.56,Live
1049.56,529.59,Live
1115.88,514.73,Live
1632.55,293.58,Live
1595.78,1766.21,Live
1105.92,1323.67,Live
860.98,2584.67,Live
1453.6,4660.3,Live
14750.66,292.09,Live
1770.56,4507.49,Live
8647.42,295.53,Live
1033.8,306.19,Live
16725.5,326.19,Live
1015,365.72,Live
884.43,1623.56,Live
1270.86,737.78,Live
15793.24,282.36,Live
1843.58,2672.86,Live
12140.86,279.42,Live
1900.62,4176.44,Live
1293.98,3207.8,Live
1140.4,947.81,Live
1941.99,340.84,Live
1890.24,488.62,Live
5071.13,349.42,Live
1024.31,1735.36,Live
12632.75,1484.6,Live
884.49,332.36,Live
1985.23,443.04,Live
14024.25,285.46,Live
9191.83,300.92,Live
11972.69,291.99,Live
1965.29,3253.88,Live
1027.48,382.68,Live
19647.2,290.9,Live
1580.71,707.74,Live
1146.05,327.47,Live
846.5,316.81,Live
5182.42,3258.81,Live
999.16,362.23,Live
1065.71,909.64,Live
1512.15,1126.37,Live
1539.76,610.13,Live
1304.43,1251.96,Live
12602.36,323.24,Live
874.06,346.75,Live
2171.31,383.18,Live
17817.27,287.98,Live
1121.91,1125.88,Live
6283.06,386.17,Live
1816.92,954.35,Live
1558.62,1256.33,Live
1593.49,2208.02,Live
21182.14,344.24,Live
1134.63,524.16,Live
2389.75,419.11,Live
6342.27,312.91,Live
4557.07,434.85,Live
1297.24,755.14,Live
12859.88,280.89,Live
1744.72,2091.8,Live
18143.95,301.59,Live
950.56,364.4,Live
6096.41,396.14,Live
21549.4,319.44,Live
17812.92,323.4,Live
1595.74,556.27,Live
804.67,304.7,Live
14064.98,288.85,Live
990.64,829.51,Live
1273.11,1557.24,Live
16437.8,307.26,Live
13266.64,298.85,Live
11236.47,293.4,Live
6066.59,992.98,Live
12267.55,292.44,Live
13955,330.64,Live
13485.48,293.48,Live
1276.61,1400.16,Live
973.37,679.68,Live
864.35,321.28,Live
20393.48,291.69,Live
14125.12,293.7,Live
822.25,316.65,Live
836.32,309.67,Live
18599.13,306.85,Live
1171.89,1927.08,Live
990.44,353.68,Live
15062.95,302.48,Live
11289.09,305.54,Live
1193.24,1964.92,Live
1534.72,484.02,Live
1345.91,3589.44,Live
15828.1,295.64,Live
13838.73,332.11,Live
2034.46,2070.44,Live
22067.24,301.78,Live
1168.73,1281.98,Live
1219.26,938.02,Live
11501.06,297.93,Live
1270.3,407.18,Live
19207.87,304.71,Live
2199.55,422.27,Live
17035.56,299.36,Live
12728.49,326.07,Live
919.12,575.39,Live
